Year,Subcat1,Subcat2,Subcat3,Value
2015,,,,9
2015,A,,,9
2015,A,,1.0,9
2015,A,,2.0,9
2015,A,a,,9
2015,A,a,1.0,9
2015,A,a,2.0,9
2015,A,b,,9
2015,A,b,1.0,9
2015,A,b,2.0,9
2015,B,,,9
2015,B,,1.0,9
2015,B,,2.0,9
2015,B,a,,9
2015,B,a,1.0,9
2015,B,a,2.0,9
2015,B,b,,9
2015,B,b,1.0,9
2015,B,b,2.0,9
2016,,,,9
2016,A,,,9
2016,A,,1.0,9
2016,A,,2.0,9
2016,A,a,,9
2016,A,a,1.0,9
2016,A,a,2.0,9
2016,A,b,,9
2016,A,b,1.0,9
2016,A,b,2.0,9
2016,B,,,9
2016,B,,1.0,9
2016,B,,2.0,9
2016,B,a,,9
2016,B,a,1.0,9
2016,B,a,2.0,9
2016,B,b,,9
2016,B,b,1.0,9
2016,B,b,2.0,9
